Frontier,SolutionIndex,NPV(1000USD),Carbon(1000MgT),Habitat(ac)
FSC-85,29,-1343.914,449.6771,357.47
FSC-85,28,-1338.311,472.4242,263.42
FSC-85,27,-1081.433,424.0731,357.47
FSC-85,26,-1077.826,446.8198,336.48
FSC-85,25,-1037.829,467.2281,238.19
FSC-85,24,-1023.83,467.2112,215.53
FSC-85,23,-929.779,467.2046,164.86
FSC-85,22,-881.2287,467.2235,144.79
FSC-85,20,-807.5474,421.2162,336.48
FSC-85,21,-796.3177,467.218,111.85
FSC-85,19,-780.0174,441.6039,305.76
FSC-85,18,-667.7218,441.5926,283.49
FSC-85,17,-566.6063,441.6045,263.42
FSC-85,16,-521.7327,415.9925,305.76
FSC-85,15,-368.2364,414.2603,283.49
FSC-85,14,-331.3493,438.24,238.19
FSC-85,13,-249.5962,412.6389,263.42
FSC-85,12,-213.9234,436.5464,195.58
FSC-85,11,-16.7461,410.9434,238.19
FSC-85,10,99.71086,430.6682,164.86
FSC-85,9,173.259,405.0618,195.58
FSC-85,8,362.5307,426.9414,126.34
FSC-85,7,393.9018,426.9556,103.68
FSC-85,6,442.9382,401.341,164.86
FSC-85,5,715.7092,398.7451,126.34
FSC-85,2,772.777,397.6247,103.68
FSC-105,1,-4541.139,528.2014,407.41
FSC-105,51,-3401.386,509.1637,395.14
FSC-105,50,-3348.029,509.1777,375.92
FSC-105,49,-3336.517,509.1723,346.87
FSC-105,48,-3335.945,509.1727,324.21
FSC-105,47,-2546.114,484.0525,407.41
FSC-105,46,-2439.337,484.1399,388.19
FSC-105,45,-2358.303,484.1576,366.09
FSC-105,44,-2256.355,484.1346,346.87
FSC-105,43,-2136.409,484.1311,324.21
FSC-105,42,-2074.332,459.0265,407.41
FSC-105,41,-2047.299,484.1724,295.16
FSC-105,40,-2008.647,484.1317,276.71
FSC-105,39,-1963.122,484.1253,256.64
FSC-105,38,-1945.683,484.1252,238.19
FSC-105,37,-1940.835,484.1307,215.53
FSC-105,36,-1931.205,484.146,183.31
FSC-105,35,-1891.033,459.1244,388.19
FSC-105,34,-1780.957,459.0178,366.09
FSC-105,33,-1686.829,434.0085,395.14
FSC-105,32,-1578.802,456.4312,346.87
FSC-105,31,-1562.443,476.3992,164.86
FSC-105,30,-1515.47,476.3727,144.79
FSC-105,28,-1470.759,431.4144,375.92
FSC-105,29,-1469.849,476.3786,111.85
FSC-105,27,-1340.684,429.0491,357.47
FSC-105,26,-1302.656,451.3547,324.21
FSC-105,25,-1129.313,426.2886,336.48
FSC-105,24,-1099.601,449.1375,295.16
FSC-105,23,-996.6108,424.1142,314.21
FSC-105,22,-976.5713,446.9952,276.71
FSC-105,21,-881.5507,447.0521,256.64
FSC-105,20,-766.5354,421.9899,295.16
FSC-105,19,-765.4505,445.3565,238.19
FSC-105,18,-745.0353,445.3382,215.53
FSC-105,17,-636.0758,420.3307,276.71
FSC-105,16,-622.8963,443.8944,183.31
FSC-105,15,-506.9534,418.8368,256.64
FSC-105,14,-493.2743,441.3437,164.86
FSC-105,13,-380.4947,416.3437,238.19
FSC-105,12,-344.7004,415.5487,215.53
FSC-105,11,-302.2737,436.6913,144.79
FSC-105,10,-229.6945,411.671,183.31
FSC-105,9,-203.4765,435.5182,126.34
FSC-105,8,-181.8955,435.5287,103.68
FSC-105,7,-97.24757,410.5131,164.86
FSC-105,6,35.26931,409.0018,144.79
FSC-105,5,166.6908,406.9496,126.34
FSC-105,2,199.6064,406.0913,103.68
