Frontier,SolutionIndex,Peak Sediment Deposit (tonnes),Fire Hazard Rating,Min Owl Habitat (ha)
E85,1066,66.272228625,23284.0461063,2411.4647226
E85,1077,61.6883152006,23288.3442111,2408.106701
E85,1091,54.815872265799996,23287.8551575,2353.81645287
E85,1115,54.73490787229999,23292.0240104,2378.6239383
E85,1117,54.73490787229999,23292.5344039,2381.07579312
E85,1138,52.448776305500004,23297.1626311,2400.90158786
E85,1142,60.8702308976,23299.7622958,2433.27374162
E85,1149,49.418735757,23296.7741105,2331.77947241
E85,1153,54.815872265799996,23297.4526811,2412.3838196
E85,1172,52.5258818017,23298.9330003,2414.36896119
E85,1179,52.5258818017,23299.3409176,2415.56225786
E85,1181,52.4449174083,23300.0701287,2417.07578745
E85,1187,54.73490787229999,23304.4612268,2423.40287669
E85,1188,52.529740698999994,23304.5801784,2420.60857789
E85,1210,49.033260792200004,23309.6999627,2409.27853925
E85,1232,52.448776305500004,23308.9709365,2438.99603497
E85,1240,52.448776305500004,23309.4544528,2441.56099027
E85,1256,46.33980901010001,23314.164933900003,2366.79282999
E85,1257,41.454402611300004,23318.4662301,2365.39971294
E85,1262,61.684456303299996,23310.0158802,2461.45988499
E85,1269,58.3133544941,23313.0550803,2458.38974593
E85,1282,49.11422518569999,23317.3332336,2420.60857789
E85,1296,61.6034919098,23317.5135293,2466.15572542
E85,1350,30.353965568099998,23330.1290657,2412.6050984000008
E85,1371,30.353965568099998,23331.0932816,2416.55514455
E85,1381,27.544674372800003,23337.6274907,2418.06867414
E85,1388,24.506838376799998,23338.0254928,2369.93600537
E85,1411,41.404838752399996,23338.8367501,2448.39428531
E85,1417,41.4048387534,23340.5859246,2449.95699047
E85,1422,59.3959267929,23335.9678912,2470.67182109
E85,1427,56.975809786499994,23338.621445900004,2471.06443631
E85,1430,60.9473363938,23339.8854715,2475.04053108
E85,1502,54.731048975,23346.6987396,2474.36867915
E85,1529,27.5942382308,23345.369409,2440.47885476
E85,1538,58.1793690544,23348.469832,2478.30713129
E85,1575,18.818880325,23356.4457804,2385.58956206
E85,1585,48.2922819854,23355.6304458,2469.34144393
E85,1587,15.5326018065,23357.3501877,2346.20938879
E85,1600,59.261941353199994,23351.0131516,2481.0117233
E85,2003,27.5942382308,23354.7777315,2458.1610341999994
E85,2018,18.818880325,23357.050215,2387.10309165
E85,2020,12.7800308804,23358.4858115,2344.1628462
E85,2023,21.664065934499998,23357.5533875,2416.55514455
E85,2024,18.903703615799998,23359.123952200003,2400.90158786
E85,2030,16.6137131518,23358.0476128,2386.11020496
E85,2031,12.780030881400002,23360.4650161,2377.14111851
E85,2032,24.457274518800002,23357.7215626,2449.23012574
E85,2047,49.414876859799996,23365.7351991,2479.96157122
E85,2049,16.617572049,23361.0583315,2408.106701
E85,2066,16.6137131518,23362.362653,2415.99142175
E85,2067,21.667924831799997,23363.0692246,2422.09139768
E85,2080,21.938605383000002,23366.594711200003,2433.41338239
E85,2101,19.289178580599998,23371.434527,2443.49443237
E85,2129,14.3290425386,23372.090708400006,2421.78041614
E85,2136,16.617572049,23371.4907304,2438.99603497
E85,2172,8.070129249439999,23369.0812249,2297.07771122
E85,2182,8.03295999732,23371.1655227,2331.22782177
E85,3021,21.934746485700003,23380.5081417,2463.29470779
E85,3098,8.821429471330003,23400.2183515,2450.22301243
E85,3104,9.55854938086,23405.5186472,2459.38263261
E85,3112,21.197626576199998,23404.7364455,2474.09779056
E85,3134,21.14460553,23414.7239256,2481.0117233
E85,3143,18.6848948853,23418.1276951,2481.0117233
E85,3144,16.4797277121,23419.1322814,2481.0117233
E85,3169,9.94402434572,23429.0569822,2471.04597218
E85,3174,8.898807181739999,23434.0583021,2475.13164207
E85,3176,9.63951377435,23439.2116551,2477.80060607
E85,3180,5.988945974430001,23439.6215927,2459.67456378
E85,3201,3.78738182559,23448.2262599,2357.32526297
E85,3225,3.87220511635,23456.6394625,2409.72916155
E85,3226,3.87220511635,23456.8591082,2410.76135904
E85,3234,5.46644471584,23480.5485832,2476.23790091
E85,3250,3.41551551333,23484.3122355,2428.06413475
E85,3286,1.16345051873,23505.817863900003,2341.74144555
E85,3315,1.24827380949,23516.679496,2400.34993723
E85,3325,3.41551551333,23523.6470828,2474.16814198
E85,3327,1.24441491222,23519.6400506,2416.67555708
E85,3336,1.24827380949,23526.170464,2426.70797743
E85,3348,1.167309416,23536.891651,2451.49791186
E85,3359,1.19986705881,23557.838423700006,2467.18657475
E85,3361,1.16345051873,23564.7783976,2469.28215338
E85,3364,1.24441491222,23564.4516686,2473.07871226
E85,3367,1.13854426486,23570.4610949,2477.0171644
E85,3368,1.24441491222,23572.5957215,2478.23534774
E85,3369,1.1960965066,23573.7990733,2479.6861284
E85,9997,66.272228625,23269.357863,2295.08013927
E85,9998,0.0277091340776,23683.178882,2481.01
E85,9999,0.0,23724.9816467,2481.0117233
